Código Escola,Saldo_2023
50000047,182416
50000152,14210
50000179,132300
50000187,7658
50000195,130100
50000209,13050
50000217,120300
50000225,185900
50000233,3374
50000241,18630
50000250,22530
50000268,4578
50000276,21830
50000284,129168
50000292,3962
50000306,21730
50000314,6258
50000322,183664
50000330,10270
50000349,89232
50000594,119184
50000667,3900
50000675,189756
50000683,128336
50000691,108784
50000705,10144
50000764,10020
50000799,3276
50000810,152300
50000829,14180
50001078,3122
50001086,69700
50001094,15170
50001108,120848
50001116,14110
50001124,11030
50001159,82992
50001175,117312
50001310,143104
50001361,126464
50001469,119808
50001582,120848
50001590,131248
50001655,71300
50001663,22790
50001671,148500
50001698,18090
50001701,235500
50001752,178464
50001825,140816
50001922,194688
50002015,179288
50002023,169312
50002031,122304
50002058,118976
50002066,9620
50002112,166816
50002147,9280
50002155,12630
50002163,5860
50002171,19830
50002481,7660
50002503,142506
50002520,16320
50002538,1340
50002546,154128
50002554,3484
50002562,147472
50002570,8630
50002783,7440
50002830,10530
50002856,5210
50002961,151632
50003062,12210
50003097,4000
50003100,122700
50003119,143312
50003127,126672
50003208,175070
50003232,201968
50003240,116688
50003429,141564
50003461,5026
50003500,19190
50003518,10110
50003526,177708
50003534,170352
50003542,138736
50003569,26030
50003577,10170
50003720,136864
50003844,87984
50003852,13130
50003860,78832
50003895,93500
50003992,95472
50004077,31090
50004085,129168
50004115,120016
50004140,10490
50004158,12930
50004204,91300
50004247,187748
50004344,230300
50004352,16990
50004360,5054
50004409,12930
50004417,11830
50004425,22890
50004522,181130
50004620,5726
50004638,172300
50004646,68
50004700,4158
50004727,49700
50004743,111700
50005014,5980
50005340,29510
50005588,161616
50005723,195728
50005731,173692
50005740,10530
50005758,11130
50005766,10870
50005774,134576
50005782,10730
50005804,98500
50005812,29070
50005820,10130
50005839,2954
50005847,156208
50005855,124176
50005863,16390
50005871,12610
50005880,171684
50005901,163652
50005910,20690
50005928,32910
50005936,28970
50005944,115856
50005952,153296
50005979,166192
50005987,3276
50005995,25590
50006002,27430
50006010,101100
50006037,20290
50006045,11070
50006053,207792
50006061,172016
50006070,12130
50006088,16210
50006096,177008
50006100,88300
50006118,27490
50006126,14090
50006169,177424
50006177,6986
50006185,21330
50006207,95472
50006215,18870
50006223,149136
50006231,404500
50006240,149596
50006274,111700
50006282,12630
50006290,117104
50006304,133744
50006320,4914
50006339,11310
50006347,2954
50006355,18290
50006363,91364
50006371,17890
50006380,11710
50006398,12430
50006410,27030
50006436,204464
50006444,120016
50006452,178100
50006460,29690
50006479,157872
50006495,110032
50006509,347500
50006525,302500
50006533,218300
50006541,18290
50006550,19490
50006568,13490
50006576,219500
50006584,114300
50006592,1023000
50006606,14270
50006614,12390
50006622,139152
50006630,11290
50006649,20910
50006657,14930
50006665,5194
50006673,18890
50006681,227100
50006690,197392
50006703,19930
50006738,19690
50006746,11438
50006754,12230
50006762,26590
50006770,160700
50006789,6426
50006797,12210
50006800,365370
50006819,13390
50006827,12730
50006835,152048
50006843,43030
50006851,31170
50006860,180100
50006878,19870
50006916,176300
50006959,10720
50006975,9674
50007033,10390
50007041,21290
50007050,137696
50007076,186744
50007092,21310
50007106,16190
50007149,134784
50007165,14870
50007181,11998
50007211,259900
50007220,21670
50007238,25830
50007246,25390
50007254,12790
50007270,15590
50007300,12030
50007319,19410
50007327,21430
50007335,5980
50008463,191568
50008501,21990
50008714,34330
50008803,5838
50008862,259100
50009249,12640
50009257,151008
50009281,180544
50009290,199472
50009311,168688
50009443,315000
50009460,11110
50009478,197808
50009630,402
50009656,125900
50009672,10030
50009788,200304
50009796,193772
50009834,91364
50009842,103792
50009850,2982
50009869,243100
50009877,25410
50009885,23770
50009893,5472
50009907,10592
50009923,22810
50009974,192192
50009982,125216
50010018,10680
50010026,19830
50010034,10930
50010042,16410
50010050,130052
50010069,139776
50010077,170976
50010115,203130
50010158,148304
50010166,18010
50010174,164528
50010182,189904
50010573,12790
50010620,106288
50010646,23470
50010670,75900
50010697,9562
50010700,206300
50010719,15630
50010727,13790
50010735,18110
50010743,4438
50010956,219410
50010972,166192
50011014,142506
50011022,28510
50011030,13570
50011049,174100
50011057,128300
50011081,93500
50011090,100700
50011120,134100
50011146,101404
50011243,153900
50011260,14870
50011383,139152
50011391,203870
50011405,7322
50011413,19590
50011421,85034
50011448,17010
50011456,201500
50011464,3794
50011499,135616
50011600,125216
50011618,2548
50011774,19370
50011782,3296
50011790,592
50011804,2719000
50011847,17470
50011863,194064
50011871,100464
50011880,13330
50011910,110656
50011936,236500
50011944,102300
50011960,15320
50012010,96900
50012088,141648
50012096,20010
50012100,176592
50012118,40670
50012126,19790
50012134,25710
50012142,19730
50012150,12310
50012169,30230
50012177,140500
50012185,64500
50012193,156100
50012207,136300
50012215,159100
50012231,223700
50012240,139500
50012258,244300
50012266,155900
50012274,122100
50012282,195700
50012290,90300
50012304,117100
50012525,10620
50012550,170078
50012800,115232
50012975,13010
50013025,222900
50013033,153700
50013050,56300
50013068,292900
50013149,159328
50013165,176176
50013173,15790
50013181,14310
50013190,205296
50013378,4662
50013386,111696
50013394,15030
50013408,5726
50013416,75700
50013424,120432
50013432,152464
50013440,11630
50013459,107300
50013467,21710
50013491,169464
50013610,201136
50013890,5614
50013904,17130
50013912,185074
50013955,201136
50013963,11330
50013971,117728
50013980,135408
50014048,91100
50014064,172848
50014072,124384
50014102,14470
50014129,108700
50014137,110044
50014170,145518
50014196,6594
50014200,17970
50014218,13630
50014226,157628
50014234,156208
50014242,11310
50014250,111696
50014269,111904
50014366,173264
50014382,142688
50014420,16830
50014439,171684
50014447,139984
50014463,17070
50014617,146890
50014625,178672
50014641,14130
50014650,26970
50014676,13010
50014692,12810
50014706,10770
50014730,131248
50014749,114608
50014765,199056
50014854,6540
50014889,21530
50014897,5940
50014900,165900
50014927,168392
50015117,108368
50015141,24660
50015150,142568
50015168,141700
50015176,157500
50015214,10810
50015222,146300
50015230,12710
50015249,17290
50015257,18090
50015281,13570
50015290,20690
50015311,3380
50015354,18210
50015362,9660
50015370,144144
50015397,11830
50015400,108432
50015427,147472
50015435,180500
50015443,159500
50015451,204464
50015460,17610
50015478,20030
50015486,121484
50015540,145392
50015559,53500
50015567,144352
50015583,165152
50015591,3598
50015770,29590
50015885,85100
50015907,167100
50015915,4102
50015931,7070
50015940,28210
50015958,10790
50015966,29210
50016008,141232
50016016,199796
50016024,48230
50016032,29830
50016040,16110
50016067,13530
50016083,196500
50016091,166500
50016105,199500
50016113,107100
50016130,2040
50016148,14610
50016156,80500
50016164,14830
50016172,3934
50016180,103500
50016199,17190
50016210,14890
50016245,2370
50016300,96100
50016342,163652
50016415,113776
50016431,176176
50016482,21310
50016504,12190
50016512,69900
50016520,17670
50016539,957000
50016547,191100
50016555,12704
50016580,18016
50016598,17910
50016768,146848
50016873,198432
50016938,128128
50017071,158632
50017225,152256
50017373,13680
50017411,101296
50017438,17830
50017497,14310
50017560,166816
50017608,20610
50017616,10990
50017659,13130
50017730,152608
50017756,197094
50017772,125632
50017799,17210
50017802,18370
50017810,146848
50017829,100900
50017845,16070
50018019,10770
50018027,22470
50018035,133328
50018051,10110
50018060,13870
50018078,18770
50018086,12490
50018116,5474
50018221,127504
50018230,191764
50018248,164300
50018256,11370
50018264,118976
50018345,4576
50018353,39830
50018361,8106
50018370,3290
50018388,15310
50018418,24070
50018469,17210
50018477,11110
50018485,175344
50018493,81100
50018515,11030
50018531,174300
50018566,22310
50018574,154544
50018604,188656
50018744,307300
50018949,159744
50019040,150176
50019120,21860
50019228,4774
50019236,169100
50019244,180516
50019252,20030
50019260,5460
50019279,119900
50019287,13610
50019295,183664
50019309,62900
50019368,10330
50019376,60900
50019384,11310
50019406,66700
50019414,632
50019430,142568
50019449,165984
50019473,136656
50019503,16590
50019520,175552
50019554,15010
50019562,6062
50019570,13990
50019589,16170
50019597,10060
50019660,15810
50019678,189904
50019732,14710
50019775,90896
50019813,146016
50019880,173888
50019961,135616
50020005,122096
50020021,15730
50020307,157872
50020315,398
50020323,520
50020374,15770
50020382,100048
50020390,12530
50020404,147588
50020609,6080
50020650,21630
50020668,189904
50020676,166192
50020684,114456
50020749,167668
50020765,16230
50020773,24070
50020811,163652
