;;;;Ministério da Educação - MEC;;;;;;;;;;;;;
;;;;Fundo Nacional de Desenvolvimento da Educação - FNDE;;;;;;;;;;;;;
;;;;Situação de Atendimento da Entidade;;;;;;;;;;;;;
;;;;Ano:2024, Programa:PDDE, UF:'DF','GO','MS','MT', Situação:Pagos Tipo de Relatório: Detalhado por Escola;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Ano;Região;UF;Município;Código Município IBGE;CNPJ Município/SEDUC;Nome Escola;Código Escola;Rede Atendimento;Quantidade Alunos;CNPJ Executora;Nome Executora;Programa;Destinação;Valor Custeio;Valor Capital;Valor Total;Data Solicitação
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE DR GABRIEL VANDONI DE BARROS;50000047;ADMINISTRAÇÃO PÚBLICA ESTADUAL;271;'14892921000110;APM DA ESCOLA ESTADUAL DR GABRIEL VANDONI DE BARROS;PDDE;PDDE Basico - 1 Parcela;2.908,00;727;3.635,00;16/04/2024
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE MARIA HELENA ALBANEZE;50000152;ADMINISTRAÇÃO PÚBLICA ESTADUAL;389;'14893184000170;APM-ASSOCIACAO DE PAIS E MESTRES;PDDE;PDDE Basico - 1 Parcela;3.852,00;963;4.815,00;16/04/2024
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE ROTARY CLUB;50000160;ADMINISTRAÇÃO PÚBLICA ESTADUAL;489;'02018406000127;ASSOCIACAO DE PAIS E MESTRES DA EEPPG ROTARY CLUB;PDDE;PDDE Basico - 1 Parcela;4.652,00;1.163,00;5.815,00;12/06/2024
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE CARLOS DE CASTRO BRASIL;50000179;ADMINISTRAÇÃO PÚBLICA ESTADUAL;570;'03562261000193;APM DA ESCOLA ESTADUAL CARLOS DE CASTRO BRASIL;PDDE;PDDE Basico - 1 Parcela;4.637,50;1.987,50;6.625,00;16/04/2024
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE DOM BOSCO;50000187;ADMINISTRAÇÃO PÚBLICA ESTADUAL;1650;'01052173000116;ASSOCIACAO DE PAIS E MESTRES DA EEPEPSG DOM BOSCO;PDDE;PDDE Basico - 1 Parcela;13.940,00;3.485,00;17.425,00;16/04/2024
2024;CENTRO OESTE;MS;CORUMBA;5003207;'02585924000122;EE DR JOAO LEITE DE BARROS;50000195;ADMINISTRAÇÃO PÚBLICA ESTADUAL;701;'14892970000153;ASSOCIACAO DE PAIS E MESTRES DA EEPG DR JOAO L BARROS;PDDE;PDDE Basico - 1 Parcela;5.554,50;2.380,50;7.935,00;16/04/2024
