Código Escola,Saldo_2017,Saldo_2018,Saldo_2019,Saldo_2020,Saldo_2021
50000047,17920,16280,13260,1070,175968
50000152,18660,18760,16140,1390,13440
50000179,14920,14880,15840,17740,12080
50000187,40820,39820,34380,28120,2520
50000195,19660,24620,2090,16780,18340
50000209,21580,144352,125216,146584,1028
50000217,17660,21320,18100,16640,23770
50000225,23380,115,2310,20920,180
50000233,26540,29740,29860,23080,1390
50000241,18220,1840,8570,8470,104674
50000250,25720,24720,2364,2440,2410
50000268,11180,11120,1420,15640,15440
50000276,2220,21120,20120,21220,20220
50000284,126464,134784,172534,189726,126464
50000292,18480,15540,16720,16420,14540
50000306,20,2046,2176,2164,2012
50000314,2330,23520,21280,20460,21780
50000322,167648,168064,714,786,872
50000330,10540,10140,196784,196784,207168
50000349,78208,42292,69888,70028,356
50000594,108576,106912,111072,110044,162378
50000624,162000,130000,118000,116000,0
50000667,21580,2190,19960,18420,18240
50000675,20040,18620,17680,406,10040
50000683,248000,96928,103584,167622,157184
50000691,155584,123968,156364,96928,103168
50000705,24740,25560,20560,17720,15120
50000764,104416,0,179296,410,792
50000799,18640,16640,18920,17960,18080
50000802,10820,10880,10040,0,294
50000810,18120,19040,17060,0,168
50000829,0,0,0,0,12100
50001078,139776,173056,173472,146432,154752
50001086,2122,139400,110600,10180,99400
50001094,20260,17840,18020,16840,15920
50001108,1270,11340,11960,184736,128128
50001116,23450,518,16360,14600,15880
50001124,1276,12460,11880,11960,11660
50001159,10560,196352,123136,103168,71968
50001175,88192,80032,72384,74048,70028
50001310,102752,101504,104832,99424,163072
50001361,104832,108992,99008,97344,136448
50001469,76304,78312,78624,75712,75296
50001582,152672,163488,728,0,0
50001590,288912,1190,84,664,7040
50001655,14480,14560,14340,13660,8640
50001663,25240,23860,22920,21360,23320
50001671,26310,1890,1884,1744,1664
50001698,22980,24680,24640,21880,21760
50001701,15560,1440,1490,14120,20320
50001752,175552,9140,8940,8820,142272
50001825,183456,191776,188032,180544,184704
50001833,108432,118144,163324,0,0
50001922,178048,188864,860,8560,8040
50002015,79456,82368,168084,133852,120958
50002023,141856,130624,6680,199550,202006
50002031,84448,97344,160024,125256,111748
50002058,78624,84448,171332,112362,111134
50002066,176704,169312,7540,7680,840
50002112,118144,123136,0,129792,195252
50002147,138112,142272,181792,8820,164736
50002155,24000,16480,16340,14860,13380
50002163,190100,101088,130782,76544,105664
50002171,18040,17020,15280,15140,16480
50002481,146016,136032,126504,189112,121056
50002503,61984,288000,278000,298000,298000
50002520,15260,15280,15040,14080,13720
50002538,10120,10180,205088,9980,10260
50002546,362,15720,14360,196768,168896
50002554,18840,14460,13060,13620,15740
50002562,196784,207168,202176,904,9220
50002570,113568,70,6820,480,7883
50002783,104416,5340,5840,5340,202188
50002830,258960,8020,780,8260,17160
50002856,103168,196504,185948,4300,190212
50002961,162656,170144,163072,171392,144768
50003062,11180,10140,9760,9120,9640
50003089,103241,173056,0,0,0
50003097,10640,9180,7660,120,730
50003100,182243,10300,9380,9560,1170
50003119,116064,5820,552,5580,121888
50003127,83616,70304,109906,54496,206000
50003208,184704,178048,150176,8340,8240
50003232,150006,148592,134784,162656,8960
50003240,69056,83616,74048,96096,79456
50003429,145184,150592,158496,138528,123136
50003461,26920,26460,24040,22820,21700
50003500,31220,31300,25820,23980,19580
50003518,19870,12880,11140,10660,200928
50003526,17550,12060,1210,11060,1060
50003534,16580,1348,1376,1256,11360
50003542,108576,72288,80704,64896,60736
50003569,14440,13280,1170,12380,17320
50003577,200512,198792,8900,8440,8540
50003720,89024,103168,0,108992,102752
50003747,246000,232000,0,24,234
50003844,77376,71552,68272,97012,100696
50003852,103634,10880,1030,10080,207168
50003860,64720,11160,10660,188448,8880
50003887,137696,0,0,0,0
50003895,106912,108576,7380,6880,158496
50003992,132080,86112,66264,394,84448
50004077,32680,36340,31480,798,26680
50004085,16940,17020,14340,12720,13120
50004115,155584,141856,91936,119808,129792
50004140,11140,10620,174696,184288,10180
50004158,111352,13340,1040,11960,12960
50004204,149344,148592,115232,113984,123968
50004247,187616,199264,153504,158912,161408
50004280,208000,0,0,0,0
50004344,23960,2152,20540,21120,20780
50004352,13760,1380,14040,13420,1424
50004360,1770,1840,15900,1540,16220
50004409,11620,11960,9760,10840,1320
50004417,11080,1060,9100,9520,10180
50004425,2120,21760,10110,98478,20560
50004522,94848,96928,86944,91104,136922
50004620,38590,26920,26760,23780,23280
50004638,2140,23220,1984,192,1884
50004646,112736,111488,4740,96928,504
50004700,100436,1020,10020,206336,13780
50004719,178464,8780,9120,0,0
50004727,90688,448,4100,175392,181076
50004743,90688,90688,151044,7680,8220
50005014,90272,87776,160024,0,86944
50005111,77376,0,0,0,0
50005340,4360,39140,36340,30540,17220
50005588,177216,178712,175968,177216,166816
50005723,146848,141024,125216,0,123552
50005731,23260,25960,24380,25120,25760
50005740,25220,23060,9840,14220,165984
50005758,21550,14720,13880,13780,12560
50005766,19010,14520,11780,11860,1140
50005774,157248,141024,203848,203234,136032
50005782,15160,18360,18100,17120,14180
50005804,12080,10060,9300,920,884
50005812,29960,35620,33680,32320,3020
50005820,188752,1020,183456,0,0
50005839,10840,12140,1360,14140,14480
50005847,14078,1368,12920,0,136032
50005855,13780,13380,10320,580,98392
50005863,23140,23820,0,22480,20160
50005871,12260,2220,1940,18340,18060
50005880,175102,868,9020,7740,688
