"ID_ESCOLA","ID_REGIAO","ID_MUNICIPIO","IN_PUBLICA","ID_LOCALIZACAO","NIVEL_SOCIO_ECONOMICO","MEDIA_5EF_LP_2017","MEDIA_5EF_LP_2021","MEDIA_5EF_MT_2017","MEDIA_5EF_MT_2021","MEDIA_9EF_LP_2017","MEDIA_9EF_LP_2021","MEDIA_9EF_MT_2017","MEDIA_9EF_MT_2021","MEDIA_EM_LP_2017","MEDIA_EM_LP_2021","MEDIA_EM_MT_2017","MEDIA_EM_MT_2021"
61219717,5,6310588,1,1,"Grupo 3",181.7,NA,191.26,NA,253.76,NA,240.74,NA,278.58,NA,257.29,NA
61239234,5,6310588,1,1,"Grupo 3",177.71,NA,181.53,NA,243.58,NA,241.74,NA,NA,NA,NA,NA
61220040,5,6310588,1,1,"Grupo 3",NA,NA,NA,NA,261.52,NA,241.47,NA,276.43,NA,262.07,NA
61216389,5,6310588,1,1,"Grupo 4",193.18,NA,203.29,NA,250.15,NA,250.08,NA,261.74,NA,262.07,NA
61189450,5,6310588,1,1,"Grupo 3",190.74,NA,196.78,NA,246.24,NA,242.29,NA,245.16,NA,248.06,NA
61195563,5,6310588,1,1,"Grupo 3",186.29,NA,193.78,NA,258.99,NA,259.28,NA,268.33,NA,273.03,NA
61236498,5,6310588,1,1,"Grupo 4",224.79,NA,226.34,NA,284.13,NA,272.74,NA,NA,NA,NA,NA
61203468,5,6310588,1,1,"Grupo 3",179.56,NA,185.15,NA,249.26,NA,238.2,NA,NA,NA,NA,NA
61198077,5,6310588,1,1,"Grupo 4",208.9,NA,211.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
61229709,5,6310588,1,1,"Grupo 3",180.43,NA,188.42,NA,244.79,NA,238.81,NA,NA,NA,NA,NA
61184238,5,6310588,1,1,"Grupo 3",189.03,NA,214.06,NA,243.07,NA,248.35,NA,NA,NA,NA,NA
61238324,5,6310588,1,1,"Grupo 4",211.81,NA,215.72,NA,266.94,NA,250.03,NA,NA,NA,NA,NA
